joint1,joint2,joint3,joint4,joint5,joint6,joint7,gripper
-0.006983787674293113,-0.8120913847994021,-0.0005638569913115378,-2.3553563624493643,-7.893775120129155e-05,1.542677228804481,0.77786130685164,-0.01751768999408604
-0.00691678545128141,-0.8120289649336018,-0.000604379925514445,-2.355220781548372,-4.127059593548362e-05,1.5428228276706466,0.7779142160886159,-0.017768409097661253
-0.006860844276755096,-0.8119946825202606,-0.0005890158606613807,-2.355097142406283,-4.3610157047704184e-06,1.542792833054441,0.7779869493747398,-0.017905026025377246
-0.0069412740496717085,-0.8118102258874724,-0.0006189101360153278,-2.354980500803817,1.0209935757021088e-05,1.54298998516721,0.7779308037884435,-0.017522275243811447
-0.006751380554703951,-0.811698322915623,-0.0006006250230941937,-2.354885860259892,5.9376615139345584e-05,1.5430666380752915,0.77810735961183,-0.01728495917789513
-0.006689643015467123,-0.811212439780628,-0.000562289890800996,-2.3546681153768962,0.00013911153659472864,1.543560195319039,0.7781798335389492,-0.016760006869588784
-0.0064354474026316055,-0.8106132521914772,-0.000512289323695389,-2.354454577219997,0.00025605406150470186,1.544230387524887,0.778436993630431,-0.01642134502769038
-0.00618150199258935,-0.8098264815859316,-0.00038193350375172533,-2.354018976437671,0.0004529979406322042,1.5450119139138043,0.7787659623368022,-0.014400895885866405
-0.005418790052686195,-0.8083445757564125,-0.00015265766137451814,-2.353632247953283,0.0007268794952357809,1.5465496587342158,0.7796261546673617,-0.012458866271397417
-0.0032487916518608717,-0.8012540455430197,0.0021102150131617134,-2.352987423672702,0.00237814869269977,1.5537777363519731,0.7832127626856373,-0.012385972557813985
0.0013353196750802432,-0.7870716375370934,0.006036353431906744,-2.3518842970910496,0.005004340070339541,1.5672958307952465,0.7901841748635101,-0.012569441332083209
0.005779796993149622,-0.7787259721119899,0.009330748275904709,-2.351148338532436,0.007026852997990946,1.574983409269601,0.7967951344071268,-0.014425879618344573
0.015078104249294122,-0.7617072873369076,0.01525339448667887,-2.3500929287096546,0.010475519555660586,1.5907993725137644,0.8101748790870098,-0.013546158308848033
0.021612316997134423,-0.7478649004997797,0.01948770592786409,-2.350010394673203,0.01281759168491016,1.6047136458460889,0.8197307135357191,-0.012290211380856453
0.03427194240397771,-0.7212415340599578,0.02547432839883748,-2.350879451684223,0.015907126325222353,1.632175799941947,0.8367134396806144,-0.009974248772755157
0.046504179739467855,-0.6953364812053306,0.029542977045212793,-2.3515931607191667,0.017857138174625736,1.6587332726708897,0.8518380728093292,-0.007860213508330494
0.06038998648537884,-0.6667603108810399,0.0324280807045091,-2.352717513007183,0.01905465270862232,1.6882055867924,0.8676622761092936,-0.006011123378680372
0.07265396830026381,-0.6451191601372975,0.033352782550486876,-2.355426163749297,0.01936803843364368,1.7119598126817768,0.8804127199935057,-0.005658999713870183
0.09654809006633393,-0.5992298320440841,0.03423626658363492,-2.3600684053975867,0.01965749050960193,1.7600085320701395,0.9047363264950659,-0.005461304908401632
0.10845107616356882,-0.5725137521593775,0.034456080140122046,-2.3648240715838558,0.019711883324238164,1.7900932883465046,0.9166086146185175,-0.006498159198872755
0.12248729909497355,-0.5397125439066217,0.034508157669601795,-2.371364637687882,0.01964112307414661,1.827786574785765,0.9305511175946269,-0.006181071544784922
0.13460809975513655,-0.5079635254469771,0.034637860388897435,-2.380184443146371,0.019589743870350222,1.8671497177491068,0.9427299934338088,-0.0057335394145345275
0.14263823590969035,-0.47945586604620305,0.034521975096627806,-2.3928273128233193,0.01945020224437366,1.9074376947121274,0.9506096794368726,-0.0050794946908820915
0.14888820264671299,-0.451116061103203,0.03437136633570081,-2.407267186282253,0.019301144140812257,1.9498688286622405,0.9566563231206743,-0.004538905505307056
0.1541599233751138,-0.4247445302532077,0.03431866810482189,-2.421207165522895,0.019184111612888674,1.990047189883745,0.9618546827875696,-0.0044005250200043755
0.15862926980832157,-0.39822676011485636,0.03427920240926592,-2.433603721672941,0.019069787520023685,2.0289574453867716,0.9662040254664578,-0.0037782831181653598
0.1627333556739228,-0.3678490920920222,0.03431178582227506,-2.4479545036425012,0.019025500076862673,2.073942235559308,0.9700154078824426,-0.003278726039107449
0.16772676358586905,-0.32857454487234516,0.0343327685989695,-2.4607170824089626,0.01886545087680469,2.1258007919456703,0.9749615010971217,-0.0034803006712667006
0.17088425214148648,-0.2793602000072024,0.03427498027557267,-2.4751376249284123,0.01864101912364612,2.189673051343228,0.9779125949800899,-0.0033066490342301136
0.1737162337045556,-0.23953328009772476,0.03424061319865273,-2.4844204231280975,0.018416850823017458,2.239158439944267,0.9806351273305332,-0.0027399004111191005
0.1769421321996817,-0.18607476168031803,0.0340953247354329,-2.4907020586107183,0.0180611374555553,2.2992197297346193,0.9835194912426024,-0.002207306019937072
0.1804388634902555,-0.1316645020189529,0.03410256170449354,-2.4949284187392986,0.017785839098545413,2.357976117025805,0.9868014764715208,-0.0024776006127246175
0.18244409032032383,-0.09390389258497092,0.03397213597038129,-2.4980810852715924,0.01748022343501697,2.3988479149788677,0.9884319763227648,-0.003583821501605744
0.18409422204861645,-0.053522241722196384,0.03378452385681151,-2.498526518048162,0.01717261697635303,2.439018762900512,0.9900123832375307,-0.0029574646320644216
0.18712764943874838,-0.012161129912537927,0.033616874796208965,-2.4980257392235243,0.01680071856364856,2.4801684195088094,0.992828689373361,-0.0027385483503026276
0.18843462803608527,0.01243989082125585,0.033608335036299515,-2.496986555847735,0.016647608536335328,2.5033726952817177,0.9943172691048355,-0.0019435365902203405
